Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
943595,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Phone,7/18/2014,7/23/2014,Wells Fargo,Closed with explanation,Yes,No
943609,Bank account or service,Checking account,"Making/receiving payments, sending money",,CA,90064,Phone,7/18/2014,7/23/2014,Wells Fargo,Closed with explanation,Yes,No
943634,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,75248,Web,7/18/2014,7/18/2014,BBVA Compass,Closed with monetary relief,Yes,No
943653,Bank account or service,Checking account,"Account opening, closing, or management",,NH,3461,Referral,7/18/2014,7/23/2014,Santander Bank US,Closed with explanation,Yes,No
943683,Bank account or service,Checking account,Deposits and withdrawals,,CA,94303,Referral,7/18/2014,7/23/2014,Bank of America,Closed with explanation,Yes,No
943697,Bank account or service,Checking account,"Account opening, closing, or management",,CA,94134,Referral,7/18/2014,7/23/2014,Bank of America,Closed with explanation,Yes,No
943698,Bank account or service,Checking account,Deposits and withdrawals,,CA,93030,Web,7/18/2014,7/18/2014,U.S. Bancorp,Closed with explanation,Yes,No
943706,Bank account or service,Checking account,Problems caused by my funds being low,,CT,6405,Referral,7/18/2014,7/23/2014,First Niagara Bank,Closed with monetary relief,Yes,Yes
943715,Bank account or service,Other bank product/service,"Account opening, closing, or management",,GA,30083,Web,7/18/2014,7/18/2014,Wells Fargo,Closed with non-monetary relief,Yes,No
943770,Bank account or service,Checking account,Problems caused by my funds being low,,DC,,Referral,7/18/2014,7/23/2014,PNC Bank,Closed with explanation,Yes,No
943800,Bank account or service,Checking account,Deposits and withdrawals,,NY,12866,Referral,7/18/2014,7/23/2014,RBS Citizens,Closed with explanation,Yes,No
943802,Bank account or service,Checking account,"Account opening, closing, or management",,CA,93908,Referral,7/18/2014,7/23/2014,Banco Popular North America,Closed with monetary relief,Yes,No
943803,Bank account or service,Checking account,"Account opening, closing, or management",,CA,93420,Phone,7/18/2014,7/23/2014,Rabobank,Closed with explanation,Yes,Yes
943824,Bank account or service,Checking account,"Account opening, closing, or management",,IN,46055,Referral,7/18/2014,7/23/2014,JPMorgan Chase,Closed with explanation,Yes,No
943855,Bank account or service,Checking account,Deposits and withdrawals,,IN,46637,Web,7/18/2014,7/18/2014,JPMorgan Chase,Closed with monetary relief,Yes,No
943865,Bank account or service,Cashing a check without an account,Deposits and withdrawals,,NJ,8757,Phone,7/18/2014,7/23/2014,Wells Fargo,Closed with explanation,Yes,No
943870,Bank account or service,Checking account,Deposits and withdrawals,,NY,11572,Phone,7/18/2014,7/23/2014,JPMorgan Chase,Closed with explanation,Yes,No
943875,Bank account or service,Checking account,Deposits and withdrawals,,PR,612,Phone,7/18/2014,7/23/2014,FirstBank of Puerto Rico,Closed with explanation,Yes,No
943992,Bank account or service,Checking account,"Account opening, closing, or management",,NH,3103,Phone,7/18/2014,7/23/2014,Wells Fargo,Closed with monetary relief,Yes,No
944015,Bank account or service,Checking account,Deposits and withdrawals,,GA,30024,Phone,7/18/2014,7/23/2014,JPMorgan Chase,Closed with explanation,Yes,No
944025,Bank account or service,Checking account,Problems caused by my funds being low,,NJ,7050,Referral,7/18/2014,7/24/2014,Bank of America,Closed with explanation,Yes,No
944046,Bank account or service,Checking account,"Account opening, closing, or management",,CA,94901,Postal mail,7/18/2014,7/23/2014,Wells Fargo,Closed with monetary relief,Yes,Yes
